Programs/bug_id,Bad practice Warnings,Correctness Warnings,Dodgy code Warnings,Experimental Warnings,Internationalization Warnings,Malicious code vulnerability Warnings,Multithreaded correctness Warnings,Performance Warnings,Total,Density*
Closure/7_buggy,57,20,113,4,13,15,1,39,262,4.11
Closure/8_buggy,57,19,112,4,13,15,1,38,259,4.09
Closure/9_buggy,57,19,112,4,13,15,1,38,259,4.09
Closure/10_buggy,55,19,111,4,13,15,1,38,256,4.04
Closure/11_buggy,54,19,111,4,13,15,1,38,255,4.03
Closure/12_buggy,54,19,112,4,13,15,1,38,256,4.06
Closure/13_buggy,54,19,113,4,13,15,1,38,257,4.08
Closure/14_buggy,54,19,113,4,13,15,1,38,257,4.08
Closure/15_buggy,54,19,113,3,13,15,1,38,256,4.07
Closure/16_buggy,54,19,113,3,13,15,1,38,256,4.07
Closure/17_buggy,54,19,113,3,13,15,1,38,256,4.07
Closure/18_buggy,54,19,113,3,13,15,1,38,256,4.07
Closure/19_buggy,54,19,113,3,13,15,1,38,256,4.07
Closure/20_buggy,54,19,113,3,13,15,1,38,256,4.07
Closure/21_buggy,54,19,113,3,13,15,1,38,256,4.07
Closure/22_buggy,54,19,113,3,13,15,1,38,256,4.07
Closure/23_buggy,54,18,112,3,13,14,1,38,253,4.04
Closure/24_buggy,54,18,111,3,13,14,1,38,252,4.04
Closure/25_buggy,54,18,111,3,13,14,1,38,252,4.04
Closure/26_buggy,54,18,111,3,13,14,1,38,252,4.04
Closure/27_buggy,54,18,111,3,13,15,1,38,253,4.06
Closure/28_buggy,54,18,111,3,13,15,1,38,253,4.06
Closure/29_buggy,54,18,111,3,13,15,1,38,253,4.06
Closure/30_buggy,54,19,108,3,13,15,1,38,251,4.06
Closure/31_buggy,54,19,108,3,13,15,1,38,251,4.07
Closure/32_buggy,54,19,108,3,13,15,1,38,251,4.07
Closure/33_buggy,54,19,108,3,13,15,1,38,251,4.07
Closure/34_buggy,54,19,108,3,13,15,1,38,251,4.07
Closure/35_buggy,44,18,108,3,11,15,1,38,238,3.89
Closure/36_buggy,44,18,108,3,11,15,1,38,238,3.89
Closure/37_buggy,44,18,108,3,11,15,1,38,238,3.9
Closure/38_buggy,44,18,108,3,11,15,1,38,238,3.91
Closure/39_buggy,44,17,108,3,11,15,1,38,237,3.9
Closure/40_buggy,44,17,108,3,11,15,1,38,237,3.9
Closure/41_buggy,44,17,106,3,11,15,1,38,235,3.87
Closure/42_buggy,44,17,106,3,11,15,1,38,235,3.87
Closure/43_buggy,44,17,106,3,11,15,1,38,235,3.87
Closure/44_buggy,44,15,104,3,11,13,1,38,229,3.83
Closure/45_buggy,44,15,104,3,11,13,1,38,229,3.84
Closure/46_buggy,45,15,106,3,11,13,1,38,232,3.87
Closure/47_buggy,44,15,105,3,11,13,1,38,230,3.85
Closure/48_buggy,44,14,104,3,11,13,1,38,228,3.83
Closure/49_buggy,44,15,115,3,11,13,1,45,247,3.81
Closure/50_buggy,44,15,115,3,10,13,1,45,246,3.81
Closure/51_buggy,44,15,115,3,10,12,1,45,245,3.8
Closure/52_buggy,44,15,115,3,10,12,1,45,245,3.81
Closure/53_buggy,44,15,116,3,10,12,1,46,247,3.86
Closure/54_buggy,44,15,115,3,10,12,1,46,246,3.87
Closure/55_buggy,43,15,115,3,10,12,1,46,245,3.87
Closure/56_buggy,43,15,115,3,10,12,1,46,245,3.88
Closure/57_buggy,40,14,117,3,10,12,1,46,243,3.85
Closure/58_buggy,40,14,117,3,10,12,1,46,243,3.85
Closure/59_buggy,36,13,116,3,10,12,1,47,238,3.81
Closure/60_buggy,35,14,112,3,10,12,1,49,236,3.86
Closure/61_buggy,33,14,113,3,10,11,1,48,233,3.82
Closure/62_buggy,33,14,113,3,10,11,1,48,233,3.82
Closure/64_buggy,33,14,113,3,8,11,1,48,231,3.81
Closure/65_buggy,33,14,114,3,8,11,1,48,232,3.83
Closure/66_buggy,33,14,114,3,8,11,1,48,232,3.83
Closure/67_buggy,33,14,114,3,8,11,1,48,232,3.84
Closure/68_buggy,33,14,114,3,8,11,1,48,232,3.84
Closure/69_buggy,33,14,114,3,8,11,1,48,232,3.83
Closure/70_buggy,33,13,114,3,8,11,1,50,233,3.87
Closure/71_buggy,32,12,116,3,8,11,1,50,233,3.98
Closure/72_buggy,33,12,115,3,8,11,1,50,233,4
Closure/73_buggy,32,11,116,3,8,11,1,48,230,4.01
Closure/74_buggy,32,11,114,3,8,11,1,49,229,4.03
Closure/75_buggy,32,11,114,3,8,11,1,46,226,3.99
Closure/76_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/77_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/78_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/79_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/80_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/81_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/82_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/83_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/84_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/85_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/86_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/87_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/88_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/89_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/90_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/91_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/92_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/94_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/95_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/96_buggy,4,0,3,0,0,0,0,0,7,3.29
Closure/97_buggy,31,9,155,3,8,14,1,38,259,5.19
Closure/98_buggy,29,9,149,3,10,14,1,37,252,5.19
Closure/99_buggy,29,9,149,3,10,14,1,37,252,5.19
Closure/100_buggy,29,9,149,3,10,14,1,37,252,5.2
Closure/101_buggy,28,9,149,1,7,15,2,29,240,5.17
Closure/102_buggy,28,9,150,1,7,15,2,28,240,5.23
Closure/103_buggy,28,8,150,1,7,15,2,28,239,5.21
Closure/104_buggy,28,8,150,1,7,15,2,28,239,5.21
Closure/105_buggy,28,8,149,1,7,15,2,27,237,5.23
Closure/106_buggy,18,4,94,0,7,8,2,24,157,3.72
Closure/107_buggy,61,19,110,5,14,1,0,50,260,3.52
Closure/108_buggy,61,19,110,5,14,1,0,50,260,3.52
Closure/109_buggy,61,19,111,4,14,1,0,51,261,3.54
Closure/110_buggy,61,19,110,4,14,1,0,48,257,3.52
Closure/111_buggy,61,19,103,4,14,1,0,47,249,3.69
Closure/112_buggy,60,19,108,4,14,1,0,47,253,3.77
Closure/113_buggy,60,19,108,4,14,1,0,47,253,3.77
Closure/114_buggy,60,19,108,4,14,1,0,47,253,3.77
Closure/115_buggy,60,19,108,4,14,1,0,47,253,3.77
Closure/116_buggy,60,19,108,4,14,1,0,47,253,3.77
Closure/117_buggy,61,19,108,4,14,1,0,46,253,3.77
Closure/118_buggy,61,19,108,4,14,1,0,45,252,3.76
Closure/119_buggy,61,19,108,4,14,1,0,45,252,3.76
Closure/120_buggy,61,19,108,4,14,1,0,44,251,3.75
Closure/121_buggy,61,19,108,4,14,1,0,44,251,3.75
Closure/122_buggy,61,20,108,4,14,1,0,43,251,3.75
Closure/123_buggy,61,20,107,4,14,1,0,43,250,3.74
Closure/124_buggy,59,20,106,4,14,1,0,44,248,3.72
Closure/125_buggy,57,20,104,4,14,1,0,42,242,3.66
Closure/126_buggy,60,20,103,4,14,1,0,42,244,3.76
Closure/127_buggy,60,20,103,4,14,1,0,42,244,3.76
Closure/128_buggy,60,20,106,4,14,1,0,44,249,3.85
Closure/129_buggy,60,20,106,4,14,1,0,44,249,3.85
Closure/130_buggy,60,20,105,4,14,1,0,42,246,3.81
Closure/131_buggy,60,20,105,4,14,1,0,42,246,3.81
Closure/132_buggy,60,20,105,4,14,1,0,42,246,3.81
Closure/133_buggy,60,20,104,4,13,1,0,42,244,3.78
Closure/134_buggy,28,8,147,1,6,15,2,26,233,5.21
Closure/135_buggy,28,8,149,1,7,15,2,26,236,5.22
Closure/136_buggy,28,9,150,1,7,15,2,29,241,5.21
Closure/137_buggy,28,9,150,1,7,15,2,29,241,5.21
Closure/138_buggy,28,9,149,1,7,15,2,29,240,5.18
Closure/139_buggy,28,9,149,1,7,15,2,29,240,5.18
Closure/140_buggy,28,9,149,1,7,15,2,29,240,5.17
Closure/141_buggy,28,9,149,1,7,15,2,29,240,5.17
Closure/142_buggy,31,8,147,1,7,14,2,29,239,5.11
Closure/143_buggy,31,8,147,1,7,14,2,29,239,5.11
Closure/144_buggy,29,9,151,3,10,14,1,37,254,5.18
Closure/145_buggy,29,9,151,3,9,14,1,37,253,5.16
Closure/146_buggy,29,9,154,3,9,14,1,37,256,5.17
Closure/147_buggy,30,9,155,3,8,14,1,38,258,5.2
Closure/148_buggy,31,9,154,3,8,14,1,38,258,5.19
Closure/149_buggy,4,0,3,0,0,0,0,0,7,3.37
Closure/150_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/151_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/152_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/153_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/154_buggy,4,0,0,0,0,0,0,0,4,2.94
Closure/155_buggy,6,0,0,0,0,0,0,0,6,3.08
Closure/156_buggy,32,11,114,3,8,11,1,46,226,4
Closure/157_buggy,32,11,114,3,8,11,1,46,226,3.99
Closure/158_buggy,32,11,114,3,8,11,1,46,226,3.98
Closure/159_buggy,32,11,116,3,8,11,1,48,230,4.01
Closure/160_buggy,33,13,114,3,8,11,1,48,231,3.82
Closure/161_buggy,36,13,116,3,10,12,1,46,237,3.78
Closure/162_buggy,44,15,115,3,10,12,1,46,246,3.87
Closure/163_buggy,44,15,104,3,11,13,1,38,229,3.85
Closure/164_buggy,44,18,108,3,11,15,1,38,238,3.91
Closure/165_buggy,54,18,111,3,13,14,1,38,252,4.04
Closure/166_buggy,54,19,113,4,13,15,1,38,257,4.08
Closure/167_buggy,54,19,112,4,13,15,1,38,256,4.06
Closure/168_buggy,54,19,112,4,13,15,1,38,256,4.06
Closure/169_buggy,57,20,113,4,13,15,1,39,262,4.11
Closure/170_buggy,60,20,104,4,14,1,0,44,247,3.78
Closure/171_buggy,61,20,108,4,14,2,0,43,252,3.78
Closure/172_buggy,61,20,108,4,14,1,0,43,251,3.75
Closure/173_buggy,61,19,108,4,14,1,0,45,252,3.76
Closure/174_buggy,60,19,108,4,14,1,0,47,253,3.77
Closure/175_buggy,61,19,110,4,14,1,0,51,260,3.53
Closure/176_buggy,61,19,110,5,14,1,0,50,260,3.52
Codec/1_buggy,0,0,1,0,9,3,0,0,13,7.45
Codec/2_buggy,0,0,3,0,9,0,0,0,12,6.28
Codec/3_buggy,0,0,3,0,8,3,0,0,14,6.95
Codec/4_buggy,0,0,3,0,0,3,0,0,6,2.95
Codec/5_buggy,0,0,3,0,0,3,0,0,6,2.95
Codec/6_buggy,0,0,3,0,0,3,0,0,6,2.72
Codec/7_buggy,0,0,3,0,0,3,0,0,6,2.72
Codec/8_buggy,0,0,3,0,0,3,0,0,6,2.73
Codec/9_buggy,0,0,5,0,0,2,0,0,7,2.69
Codec/10_buggy,0,0,5,0,0,0,0,1,6,2.51
Codec/11_buggy,0,0,5,0,0,0,0,1,6,1.84
Codec/12_buggy,0,0,5,0,0,0,0,1,6,1.75
Codec/13_buggy,0,0,2,0,0,0,0,1,3,0.72
Codec/14_buggy,0,0,2,0,0,0,0,1,3,0.72
Codec/15_buggy,0,0,2,0,0,0,0,1,3,0.64
Codec/16_buggy,0,0,2,0,0,0,0,1,3,0.64
Codec/17_buggy,13,1,7,0,0,0,0,1,22,0.89
Codec/18_buggy,13,1,7,0,0,0,0,1,22,0.89
Collections/25_buggy,1,1,7,0,0,3,1,1,14,0.76
Collections/26_buggy,1,1,7,0,0,3,1,1,14,0.73
Collections/27_buggy,1,1,7,0,0,3,1,1,14,0.73
Collections/28_buggy,1,1,7,0,0,3,1,1,14,0.73
Compress/1_buggy,1,3,5,0,16,4,0,1,30,5.87
Compress/2_buggy,2,2,4,0,16,3,0,1,28,5.13
Compress/3_buggy,2,2,4,0,12,3,0,0,23,4.1
Compress/4_buggy,2,2,4,0,12,3,0,0,23,4.1
Compress/5_buggy,2,2,3,0,10,3,0,0,20,3.48
Compress/6_buggy,2,2,3,0,10,3,0,0,20,3.47
Compress/7_buggy,4,2,4,0,10,3,0,0,23,3.65
Compress/8_buggy,4,2,4,0,10,3,0,0,23,3.64
Compress/9_buggy,0,0,2,0,13,0,0,1,16,1.91
Compress/10_buggy,0,0,2,0,13,0,0,1,16,1.86
Compress/11_buggy,0,0,2,0,13,0,0,1,16,1.84
Compress/12_buggy,0,0,2,0,13,0,0,1,16,1.84
Compress/13_buggy,0,0,2,0,13,0,0,1,16,1.84
Compress/14_buggy,0,0,2,0,13,0,0,1,16,1.84
Compress/15_buggy,0,0,2,0,10,0,0,0,12,1.33
Compress/16_buggy,0,0,2,0,10,0,0,0,12,1.32
Compress/17_buggy,0,0,2,0,10,0,0,0,12,1.31
Compress/18_buggy,0,0,2,0,10,0,0,0,12,1.31
Compress/19_buggy,0,0,2,0,9,0,0,1,12,1.09
Compress/20_buggy,1,0,2,0,9,0,0,1,13,1.15
Compress/21_buggy,1,0,3,0,7,0,0,1,12,0.96
Compress/22_buggy,0,0,1,0,0,0,0,0,1,0.08
Compress/23_buggy,0,0,1,0,0,0,0,0,1,0.08
Compress/24_buggy,0,0,1,0,0,0,0,0,1,0.08
Compress/25_buggy,0,0,1,0,0,0,0,0,1,0.08
Compress/26_buggy,0,0,1,0,0,0,0,0,1,0.08
Compress/27_buggy,0,0,1,0,0,0,0,0,1,0.08
Compress/28_buggy,0,0,1,0,0,0,0,0,1,0.08
Compress/29_buggy,0,0,1,0,0,0,0,0,1,0.07
Compress/30_buggy,0,0,1,0,0,0,0,0,1,0.07
Compress/31_buggy,0,0,1,0,0,0,0,0,1,0.07
Compress/32_buggy,0,0,1,0,0,0,0,0,1,0.07
Compress/33_buggy,0,0,1,0,0,0,0,0,1,0.07
Compress/34_buggy,0,0,0,0,0,0,0,0,0,0
Compress/35_buggy,0,0,2,0,0,0,0,0,2,0.14
Compress/36_buggy,0,0,0,0,0,0,0,0,0,0
Compress/37_buggy,0,0,0,0,0,0,0,0,0,0
Compress/38_buggy,0,0,0,0,0,0,0,0,0,0
Compress/39_buggy,0,0,0,0,0,0,1,0,1,0.07
Compress/40_buggy,0,0,0,0,0,0,0,0,0,0
Compress/41_buggy,0,0,0,0,0,0,0,0,0,0
Compress/42_buggy,0,0,0,0,0,0,0,0,0,0
Compress/43_buggy,0,0,0,0,0,0,0,0,0,0
Compress/44_buggy,0,0,0,0,0,0,0,0,0,0
Compress/45_buggy,0,0,0,0,0,0,0,0,0,0
Compress/46_buggy,0,0,0,0,0,0,0,0,0,0
Compress/47_buggy,0,0,0,0,0,0,0,0,0,0
Csv/1_buggy,0,0,1,0,0,0,0,0,1,1.69
Csv/2_buggy,0,0,2,0,0,0,0,0,2,2.42
Csv/3_buggy,0,0,2,0,0,0,0,1,3,3.55
Csv/4_buggy,0,0,1,0,1,0,0,0,2,2.3
Csv/5_buggy,0,0,1,0,1,0,0,0,2,2.27
Csv/6_buggy,0,0,1,0,1,0,0,0,2,2.25
Csv/7_buggy,0,0,1,0,1,0,0,0,2,2.24
Csv/8_buggy,0,0,1,0,1,0,0,0,2,2.21
Csv/9_buggy,0,0,1,0,1,0,0,0,2,2.21
Csv/10_buggy,0,0,1,0,1,0,0,0,2,2.21
Csv/11_buggy,0,0,1,0,0,0,0,0,1,1.09
Csv/12_buggy,0,0,1,0,0,0,0,0,1,1.09
Csv/13_buggy,0,0,1,0,0,0,0,0,1,0.99
Csv/14_buggy,0,0,1,0,0,0,0,0,1,0.92
Csv/15_buggy,0,0,1,0,0,0,0,0,1,0.89
Csv/16_buggy,0,0,1,0,0,0,0,0,1,0.88
Gson/1_buggy,0,0,5,0,0,0,0,0,5,1.27
Gson/2_buggy,10,1,8,0,0,1,0,0,20,3.65
Gson/3_buggy,10,1,8,0,0,1,0,0,20,3.64
Gson/4_buggy,10,1,8,0,0,1,0,0,20,3.46
Gson/5_buggy,10,1,8,0,0,1,0,0,20,3.46
Gson/6_buggy,10,1,8,0,0,1,0,0,20,3.46
Gson/7_buggy,10,1,8,0,0,1,0,0,20,3.46
Gson/8_buggy,10,1,8,0,0,1,0,0,20,3.46
Gson/9_buggy,10,1,8,0,0,1,0,0,20,3.45
Gson/10_buggy,10,1,9,0,0,1,0,0,21,3.61
Gson/11_buggy,10,1,8,0,0,1,0,0,20,3.39
Gson/12_buggy,10,1,8,0,0,1,0,0,20,3.39
Gson/13_buggy,10,1,8,0,0,1,0,0,20,3.39
Gson/14_buggy,10,1,8,0,0,1,0,0,20,3.39
Gson/15_buggy,10,1,8,0,0,1,0,0,20,3.38
Gson/16_buggy,10,1,8,0,0,1,0,0,20,3.38
Gson/17_buggy,10,1,8,0,0,1,0,0,20,3.38
Gson/18_buggy,10,1,8,0,0,1,0,0,20,3.35
JacksonCore/1_buggy,7,1,14,2,0,29,0,0,53,4.87
JacksonCore/2_buggy,8,1,17,2,0,32,0,0,60,5.44
JacksonCore/3_buggy,8,1,18,2,0,32,0,0,61,5.45
JacksonCore/4_buggy,8,1,16,2,0,34,0,0,61,5.29
JacksonCore/5_buggy,8,1,16,2,0,34,0,0,61,5.29
JacksonCore/6_buggy,8,1,16,2,0,34,0,0,61,5.29
JacksonCore/7_buggy,8,1,16,2,0,34,0,6,67,5.66
JacksonCore/8_buggy,8,2,17,2,0,34,0,6,69,5.51
JacksonCore/9_buggy,8,2,17,2,0,34,0,6,69,5.38
JacksonCore/10_buggy,8,2,19,2,0,34,0,6,71,5.12
JacksonCore/11_buggy,8,2,19,2,0,34,0,6,71,5.11
JacksonCore/12_buggy,8,3,19,2,0,34,0,6,72,5.29
JacksonCore/13_buggy,8,3,19,2,0,35,0,6,73,5.35
JacksonCore/14_buggy,8,3,19,2,0,35,0,6,73,5.35
JacksonCore/15_buggy,8,3,19,2,0,35,0,6,73,5.35
JacksonCore/16_buggy,9,3,23,2,0,41,0,6,84,5.44
JacksonCore/17_buggy,7,0,16,2,0,35,0,0,60,4.39
JacksonCore/18_buggy,7,0,16,2,0,35,0,0,60,4.38
JacksonCore/19_buggy,7,0,16,2,0,35,0,0,60,4.38
JacksonCore/20_buggy,8,0,15,2,0,41,0,0,66,4.25
JacksonCore/21_buggy,8,1,15,2,0,46,0,0,72,4.42
JacksonCore/22_buggy,8,1,17,2,0,47,0,0,75,4.28
JacksonCore/23_buggy,8,0,22,2,0,49,0,0,81,4.35
JacksonCore/24_buggy,8,0,22,2,0,49,0,0,81,4.33
JacksonCore/25_buggy,8,0,20,2,0,49,0,0,79,4.36
JacksonCore/26_buggy,8,0,23,2,0,49,0,0,82,4.37
JacksonDatabind/1_buggy,43,4,23,0,0,22,6,1,99,3.68
JacksonDatabind/2_buggy,41,6,17,0,0,23,6,1,94,3.2
JacksonDatabind/3_buggy,41,6,17,0,0,23,6,1,94,3.2
JacksonDatabind/4_buggy,41,5,17,0,0,23,6,1,93,3.16
JacksonDatabind/5_buggy,41,5,17,0,0,23,6,1,93,3.16
JacksonDatabind/6_buggy,41,4,17,0,0,23,6,1,92,3.12
JacksonDatabind/7_buggy,41,4,19,0,0,23,6,1,94,3.19
JacksonDatabind/8_buggy,46,4,21,0,0,24,6,1,102,3.23
JacksonDatabind/9_buggy,46,4,21,0,0,24,6,1,102,3.23
JacksonDatabind/10_buggy,46,4,21,0,0,24,6,1,102,3.22
JacksonDatabind/11_buggy,46,4,21,0,0,24,6,1,102,3.21
JacksonDatabind/12_buggy,41,4,19,0,0,23,6,1,94,3.18
JacksonDatabind/13_buggy,46,4,21,0,0,24,6,1,102,3.21
JacksonDatabind/14_buggy,46,4,21,0,0,24,6,1,102,3.21
JacksonDatabind/15_buggy,46,4,21,0,0,24,7,1,103,3.24
JacksonDatabind/16_buggy,46,4,21,0,0,24,7,1,103,3.24
JacksonDatabind/17_buggy,41,4,19,0,0,23,6,1,94,3.18
JacksonDatabind/18_buggy,48,6,22,0,0,26,7,1,110,3.4
JacksonDatabind/19_buggy,48,7,24,0,0,26,7,1,113,3.49
JacksonDatabind/20_buggy,46,4,21,0,0,24,7,1,103,3.24
JacksonDatabind/21_buggy,48,7,24,0,0,26,7,1,113,3.47
JacksonDatabind/22_buggy,69,7,23,0,0,26,7,1,133,4.06
JacksonDatabind/23_buggy,70,7,23,0,0,26,7,1,134,4.08
JacksonDatabind/24_buggy,70,7,23,0,0,26,7,1,134,4.07
JacksonDatabind/25_buggy,70,7,23,0,0,26,7,1,134,4.07
JacksonDatabind/26_buggy,68,7,23,0,0,26,7,1,132,4.01
JacksonDatabind/27_buggy,67,7,23,0,0,26,7,1,131,3.97
JacksonDatabind/28_buggy,67,7,22,0,0,26,7,1,130,3.94
JacksonDatabind/29_buggy,67,7,24,0,0,26,7,1,132,3.99
JacksonDatabind/30_buggy,67,7,21,0,0,26,7,1,129,3.9
JacksonDatabind/31_buggy,67,7,21,0,0,26,7,1,129,3.9
JacksonDatabind/32_buggy,67,7,21,0,0,26,7,1,129,3.9
JacksonDatabind/33_buggy,67,7,21,0,0,26,7,1,129,3.9
JacksonDatabind/34_buggy,88,6,20,0,0,26,9,1,150,4.4
JacksonDatabind/35_buggy,46,4,21,0,0,24,7,1,103,3.24
JacksonDatabind/36_buggy,88,6,19,0,0,26,9,1,149,4.36
JacksonDatabind/37_buggy,89,6,19,0,0,26,9,1,150,4.39
JacksonDatabind/38_buggy,89,6,19,0,0,26,9,1,150,4.39
JacksonDatabind/39_buggy,67,6,20,0,0,26,7,1,127,3.84
JacksonDatabind/40_buggy,89,5,19,0,0,26,9,1,149,4.36
JacksonDatabind/41_buggy,89,5,19,0,0,26,9,1,149,4.36
JacksonDatabind/42_buggy,67,5,20,0,0,26,7,1,126,3.8
JacksonDatabind/43_buggy,89,5,20,0,0,26,9,1,150,4.38
JacksonDatabind/44_buggy,89,5,20,0,0,26,9,1,150,4.38
JacksonDatabind/45_buggy,89,5,20,0,0,26,9,1,150,4.38
JacksonDatabind/46_buggy,67,6,20,0,0,26,7,1,127,3.83
JacksonDatabind/47_buggy,90,6,19,0,0,26,9,1,151,4.39
JacksonDatabind/48_buggy,90,6,19,0,0,26,9,1,151,4.39
JacksonDatabind/49_buggy,67,6,20,0,0,26,7,1,127,3.83
JacksonDatabind/50_buggy,89,11,20,0,0,27,9,1,157,4.47
JacksonDatabind/51_buggy,89,11,16,0,0,27,9,1,153,4.36
JacksonDatabind/52_buggy,89,11,16,0,0,27,9,1,153,4.36
JacksonDatabind/53_buggy,90,6,19,0,0,26,9,1,151,4.39
