,Bad practice Warnings,Correctness Warnings,Dodgy code Warnings,Experimental Warnings,Internationalization Warnings,Malicious code vulnerability Warnings,Multithreaded correctness Warnings,Performance Warnings,Total,Density*
Cli/26_buggy,1,0,0,0,1,12,0,0,14,12.03
Cli/27_buggy,1,0,0,0,1,14,0,0,16,13.18
Cli/28_buggy,1,0,0,0,1,15,0,0,17,11.89
Cli/29_buggy,1,0,0,0,1,15,0,0,17,11.71
Cli/30_buggy,1,0,0,0,1,15,0,0,17,11.68
Cli/31_buggy,1,0,0,0,1,15,0,0,17,11.6
Cli/32_buggy,1,0,0,0,1,15,0,0,17,11.62
Cli/33_buggy,1,0,0,0,1,15,0,0,17,11.64
Cli/34_buggy,1,0,0,0,1,15,0,0,17,11.55
Cli/35_buggy,0,0,0,0,1,14,0,0,15,9.68
Cli/36_buggy,0,0,0,0,1,14,0,0,15,9.67
Cli/37_buggy,0,0,0,0,1,14,0,0,15,9.64
Cli/38_buggy,0,0,0,0,1,14,0,0,15,9.62
Cli/39_buggy,0,0,0,0,1,15,0,0,16,9.99
Cli/40_buggy,0,0,0,0,1,15,0,0,16,9.86
Closure/1_buggy,60,19,113,4,13,190,0,41,440,6.86
Closure/2_buggy,60,19,114,4,13,190,0,41,441,6.88
Closure/3_buggy,61,19,114,4,13,190,1,41,443,6.9
Closure/4_buggy,61,19,114,4,13,189,1,41,442,6.89
Closure/5_buggy,61,19,111,4,13,190,1,41,440,6.89
Closure/6_buggy,62,19,111,4,13,200,1,40,450,7.04
Closure/7_buggy,58,19,110,4,13,201,1,40,446,7.0
Closure/8_buggy,58,19,109,4,13,200,1,39,443,7.0
Closure/9_buggy,58,19,109,4,13,200,1,39,443,7.0
Closure/10_buggy,56,19,108,4,13,200,1,39,440,6.95
Closure/11_buggy,55,19,108,4,13,200,1,39,439,6.94
Closure/12_buggy,55,19,109,4,13,201,1,39,441,7.0
Closure/13_buggy,55,19,110,4,13,201,1,39,442,7.02
Closure/14_buggy,55,19,110,4,13,202,1,39,443,7.04
Closure/15_buggy,55,19,110,3,13,202,1,39,442,7.03
Closure/16_buggy,55,19,110,3,13,202,1,39,442,7.02
Closure/17_buggy,55,19,110,3,13,202,1,39,442,7.02
Closure/18_buggy,55,19,110,3,13,202,1,39,442,7.02
Closure/19_buggy,55,19,110,3,13,202,1,39,442,7.02
Closure/20_buggy,55,19,110,3,13,202,1,39,442,7.03
Closure/21_buggy,55,19,110,3,13,202,1,39,442,7.03
Closure/22_buggy,55,19,110,3,13,202,1,39,442,7.03
Closure/23_buggy,55,18,109,3,13,200,1,39,438,7.0
Closure/24_buggy,55,18,108,3,13,200,1,39,437,7.0
Closure/25_buggy,55,18,108,3,13,200,1,39,437,7.01
Closure/26_buggy,55,18,108,3,13,200,1,39,437,7.01
Closure/27_buggy,55,18,108,3,13,201,1,39,438,7.03
Closure/28_buggy,55,18,108,3,13,201,1,39,438,7.03
Closure/29_buggy,55,18,108,3,13,201,1,39,438,7.03
Closure/30_buggy,55,19,105,3,13,201,1,39,436,7.06
Closure/31_buggy,55,19,105,3,13,201,1,39,436,7.06
Closure/32_buggy,55,19,105,3,13,199,1,39,434,7.03
Closure/33_buggy,55,19,105,3,13,198,1,39,433,7.02
Closure/34_buggy,55,19,105,3,13,199,1,39,434,7.04
Closure/35_buggy,45,18,105,3,11,201,1,39,423,6.92
Closure/36_buggy,45,18,105,3,11,201,1,39,423,6.92
Closure/37_buggy,45,18,105,3,11,201,1,39,423,6.93
Closure/38_buggy,45,18,105,3,11,200,1,39,422,6.93
Closure/39_buggy,45,17,105,3,11,200,1,39,421,6.93
Closure/40_buggy,45,17,105,3,11,200,1,39,421,6.93
Closure/41_buggy,45,17,104,3,11,200,1,39,420,6.92
Closure/42_buggy,45,17,104,3,11,200,1,39,420,6.92
Closure/43_buggy,45,17,104,3,11,200,1,39,420,6.92
Closure/44_buggy,45,15,102,3,11,195,1,39,411,6.88
Closure/45_buggy,45,15,102,3,11,195,1,39,411,6.88
Closure/46_buggy,46,15,104,3,11,194,1,39,413,6.89
Closure/47_buggy,45,15,103,3,11,194,1,39,411,6.89
Closure/48_buggy,45,14,102,3,11,194,1,39,409,6.86
Closure/49_buggy,45,15,112,3,11,192,1,47,426,6.57
Closure/50_buggy,45,15,112,3,10,192,1,47,425,6.58
Closure/51_buggy,45,15,112,3,10,188,1,47,421,6.53
Closure/52_buggy,45,14,112,3,10,188,1,47,420,6.53
Closure/53_buggy,45,14,113,3,10,181,1,48,415,6.49
Closure/54_buggy,45,14,112,3,10,183,1,48,416,6.55
Closure/55_buggy,44,14,112,3,10,184,1,48,416,6.57
Closure/56_buggy,44,14,112,3,10,184,1,48,416,6.58
Closure/57_buggy,41,13,114,3,10,184,1,48,414,6.56
Closure/58_buggy,41,13,114,3,10,184,1,48,414,6.57
Closure/59_buggy,37,12,113,3,10,182,1,49,407,6.52
Closure/60_buggy,36,13,109,3,10,170,1,51,393,6.43
Closure/61_buggy,34,13,110,3,10,167,1,50,388,6.36
Closure/62_buggy,34,13,110,3,10,167,1,50,388,6.36
Closure/64_buggy,34,13,110,3,8,161,1,50,380,6.27
Closure/65_buggy,34,13,111,3,8,161,1,50,381,6.29
Closure/66_buggy,34,13,111,3,8,161,1,50,381,6.3
Closure/67_buggy,34,13,111,3,8,161,1,50,381,6.3
Closure/68_buggy,34,13,111,3,8,161,1,50,381,6.3
Closure/69_buggy,34,13,111,3,8,161,1,50,381,6.3
Closure/70_buggy,34,13,111,3,8,161,1,52,383,6.37
Closure/71_buggy,33,12,113,3,8,160,1,52,382,6.52
Closure/72_buggy,34,12,112,3,8,160,1,52,382,6.56
Closure/73_buggy,33,11,113,3,8,160,1,50,379,6.61
Closure/74_buggy,33,11,111,3,8,160,1,51,378,6.64
Closure/75_buggy,33,11,111,3,8,160,1,48,375,6.62
Closure/76_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/77_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/78_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/79_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/80_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/81_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/82_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/83_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/84_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/85_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/86_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/87_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/88_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/89_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/90_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/91_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/92_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/94_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/95_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/96_buggy,4,0,3,0,0,12,0,0,19,8.93
Closure/97_buggy,32,9,153,3,8,143,1,40,389,7.8
Closure/98_buggy,30,9,147,3,10,142,1,39,381,7.84
Closure/99_buggy,30,9,147,3,10,142,1,39,381,7.84
Closure/100_buggy,30,9,147,3,10,142,1,39,381,7.86
Closure/101_buggy,29,9,147,1,7,134,2,31,360,7.76
Closure/102_buggy,29,9,148,1,7,134,2,30,360,7.84
Closure/103_buggy,29,8,148,1,7,134,2,30,359,7.82
Closure/104_buggy,29,8,148,1,7,134,2,30,359,7.82
Closure/105_buggy,29,8,147,1,7,134,2,29,357,7.88
Closure/106_buggy,18,4,93,0,7,109,2,26,259,6.14
Closure/107_buggy,61,18,107,5,14,200,0,50,455,6.15
Closure/108_buggy,61,18,107,5,14,200,0,50,455,6.15
Closure/109_buggy,61,18,108,4,14,198,0,51,454,6.16
Closure/110_buggy,61,18,107,4,14,195,0,48,447,6.12
Closure/111_buggy,61,18,100,4,14,194,0,47,438,6.5
Closure/112_buggy,60,18,105,4,14,192,0,47,440,6.56
Closure/113_buggy,60,18,105,4,14,192,0,47,440,6.56
Closure/114_buggy,60,18,105,4,14,192,0,47,440,6.56
Closure/115_buggy,60,18,105,4,14,192,0,47,440,6.56
Closure/116_buggy,60,18,105,4,14,192,0,47,440,6.56
Closure/117_buggy,61,18,105,4,14,189,0,46,437,6.52
Closure/118_buggy,61,18,105,4,14,189,0,45,436,6.51
Closure/119_buggy,61,18,105,4,14,189,0,45,436,6.51
Closure/120_buggy,61,18,105,4,14,197,0,44,443,6.61
Closure/121_buggy,61,18,105,4,14,197,0,44,443,6.61
Closure/122_buggy,61,19,105,4,14,196,0,43,442,6.6
Closure/123_buggy,61,19,104,4,14,196,0,43,441,6.61
Closure/124_buggy,59,19,103,4,14,196,0,44,439,6.59
Closure/125_buggy,57,19,101,4,14,195,0,42,432,6.53
Closure/126_buggy,60,19,100,4,14,191,0,42,430,6.63
Closure/127_buggy,60,19,100,4,14,191,0,42,430,6.63
Closure/128_buggy,60,19,103,4,14,191,0,44,435,6.73
Closure/129_buggy,60,19,103,4,14,191,0,44,435,6.73
Closure/130_buggy,60,19,102,4,14,191,0,43,433,6.71
Closure/131_buggy,60,19,102,4,14,191,0,43,433,6.71
Closure/132_buggy,60,19,102,4,14,189,0,43,431,6.68
Closure/133_buggy,60,19,101,4,13,189,0,43,429,6.65
Closure/134_buggy,29,8,145,1,6,129,2,28,348,7.78
Closure/135_buggy,29,8,147,1,7,134,2,28,356,7.87
Closure/136_buggy,29,9,148,1,7,134,2,31,361,7.81
Closure/137_buggy,29,9,148,1,7,134,2,31,361,7.8
Closure/138_buggy,29,9,147,1,7,134,2,31,360,7.77
Closure/139_buggy,29,9,147,1,7,134,2,31,360,7.77
Closure/140_buggy,29,9,147,1,7,134,2,31,360,7.76
Closure/141_buggy,29,9,147,1,7,134,2,31,360,7.76
Closure/142_buggy,32,8,145,1,7,138,2,31,364,7.78
Closure/143_buggy,32,8,145,1,7,138,2,31,364,7.78
Closure/144_buggy,30,9,149,3,10,142,1,39,383,7.82
Closure/145_buggy,30,9,149,3,9,143,1,39,383,7.81
Closure/146_buggy,30,9,152,3,9,143,1,39,386,7.8
Closure/147_buggy,31,9,153,3,8,143,1,40,388,7.82
Closure/148_buggy,32,9,152,3,8,143,1,40,388,7.8
Closure/149_buggy,4,0,3,0,0,12,0,0,19,9.14
Closure/150_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/151_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/152_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/153_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/154_buggy,4,0,0,0,0,12,0,0,16,11.76
Closure/155_buggy,6,0,0,0,0,17,0,0,23,11.79
Closure/156_buggy,33,11,111,3,8,160,1,48,375,6.63
Closure/157_buggy,33,11,111,3,8,160,1,48,375,6.62
Closure/158_buggy,33,11,111,3,8,160,1,48,375,6.6
Closure/159_buggy,33,11,113,3,8,160,1,50,379,6.61
Closure/160_buggy,34,13,111,3,8,161,1,50,381,6.3
Closure/161_buggy,37,12,113,3,10,182,1,48,406,6.48
Closure/162_buggy,45,14,112,3,10,183,1,48,416,6.55
Closure/163_buggy,45,15,102,3,11,195,1,39,411,6.91
Closure/164_buggy,45,18,105,3,11,200,1,39,422,6.94
Closure/165_buggy,55,18,108,3,13,200,1,39,437,7.01
Closure/166_buggy,55,19,110,4,13,201,1,39,442,7.02
Closure/167_buggy,55,19,109,4,13,201,1,39,441,7.0
Closure/168_buggy,55,19,109,4,13,201,1,39,441,6.99
Closure/169_buggy,58,19,110,4,13,201,1,40,446,7.0
Closure/170_buggy,60,19,101,4,14,195,0,44,437,6.7
Closure/171_buggy,61,19,105,4,14,197,0,43,443,6.65
Closure/172_buggy,61,19,105,4,14,196,0,43,442,6.6
Closure/173_buggy,61,18,105,4,14,189,0,45,436,6.51
Closure/174_buggy,60,18,105,4,14,192,0,47,440,6.56
Closure/175_buggy,61,18,107,4,14,198,0,51,453,6.15
Closure/176_buggy,61,18,107,5,14,200,0,50,455,6.16
Codec/1_buggy,0,0,1,0,9,4,0,0,14,8.03
Codec/2_buggy,0,0,3,0,9,1,0,0,13,6.8
Codec/3_buggy,0,0,3,0,8,4,0,0,15,7.45
Codec/4_buggy,0,0,3,0,0,4,0,0,7,3.44
Codec/5_buggy,0,0,3,0,0,4,0,0,7,3.44
Codec/6_buggy,0,0,3,0,0,4,0,0,7,3.17
Codec/7_buggy,0,0,3,0,0,4,0,0,7,3.17
Codec/8_buggy,0,0,3,0,0,4,0,0,7,3.18
Codec/9_buggy,0,0,5,0,0,3,0,0,8,3.08
Codec/10_buggy,0,0,5,0,0,1,0,1,7,2.93
Codec/11_buggy,0,0,5,0,0,4,0,1,10,3.06
Codec/12_buggy,0,0,5,0,0,4,0,1,10,2.91
Codec/13_buggy,1,0,2,0,0,5,0,1,9,2.17
Codec/14_buggy,1,0,2,0,0,5,0,1,9,2.15
Codec/15_buggy,1,0,2,0,0,5,0,1,9,1.91
Codec/16_buggy,1,0,2,0,0,5,0,1,9,1.92
Codec/17_buggy,15,1,10,0,0,21,0,1,48,1.93
Codec/18_buggy,15,1,10,0,0,21,0,1,48,1.93
Collections/25_buggy,1,4,10,0,0,72,1,1,89,4.98
Collections/26_buggy,1,4,10,0,0,74,1,1,91,4.93
Collections/27_buggy,1,4,10,0,0,74,1,1,91,4.93
Collections/28_buggy,1,4,10,0,0,73,1,1,90,4.83
Compress/1_buggy,1,4,5,0,16,15,0,1,42,8.22
Compress/2_buggy,2,4,4,0,16,15,0,1,42,7.69
Compress/3_buggy,2,4,4,0,12,17,0,0,39,6.96
Compress/4_buggy,2,4,4,0,12,17,0,0,39,6.95
Compress/5_buggy,2,4,3,0,10,17,0,0,36,6.27
Compress/6_buggy,2,4,3,0,10,17,0,0,36,6.24
Compress/7_buggy,4,4,4,0,10,20,0,0,42,6.67
Compress/8_buggy,4,4,4,0,10,20,0,0,42,6.64
Compress/9_buggy,0,2,2,0,13,18,0,1,36,4.29
Compress/10_buggy,0,2,2,0,13,18,0,1,36,4.18
Compress/11_buggy,0,2,2,0,13,18,0,1,36,4.15
Compress/12_buggy,0,2,2,0,13,18,0,1,36,4.14
Compress/13_buggy,0,2,2,0,13,18,0,1,36,4.14
Compress/14_buggy,0,2,2,0,13,18,0,1,36,4.14
Compress/15_buggy,0,2,2,0,10,18,0,0,32,3.54
Compress/16_buggy,0,2,2,0,10,18,0,0,32,3.53
Compress/17_buggy,0,2,2,0,10,19,0,0,33,3.6
Compress/18_buggy,0,2,2,0,10,19,0,0,33,3.6
Compress/19_buggy,0,2,2,0,9,18,0,1,32,2.9
Compress/20_buggy,1,2,2,0,9,19,0,1,34,3.01
Compress/21_buggy,1,2,3,0,7,20,0,1,34,2.71
Compress/22_buggy,0,2,1,0,0,20,0,0,23,1.84
Compress/23_buggy,0,2,1,0,0,20,0,0,23,1.84
Compress/24_buggy,0,2,1,0,0,21,0,0,24,1.92
Compress/25_buggy,0,2,1,0,0,21,0,0,24,1.92
Compress/26_buggy,0,2,1,0,0,21,0,0,24,1.88
Compress/27_buggy,0,2,1,0,0,21,0,0,24,1.88
Compress/28_buggy,0,2,1,0,0,21,0,0,24,1.88
Compress/29_buggy,0,2,1,0,0,32,0,0,35,2.58
Compress/30_buggy,0,2,1,0,0,32,0,0,35,2.58
Compress/31_buggy,0,2,1,0,0,32,0,0,35,2.57
Compress/32_buggy,0,2,1,0,0,32,0,0,35,2.56
Compress/33_buggy,0,2,1,0,0,32,0,0,35,2.56
Compress/34_buggy,0,2,0,0,0,32,0,0,34,2.48
Compress/35_buggy,0,2,2,0,0,32,0,0,36,2.53
Compress/36_buggy,0,2,0,0,0,32,0,0,34,2.39
Compress/37_buggy,0,2,0,0,0,32,0,0,34,2.39
Compress/38_buggy,0,2,0,0,0,32,0,0,34,2.39
Compress/39_buggy,0,2,0,0,0,32,1,0,35,2.46
Compress/40_buggy,0,2,0,0,0,32,0,0,34,2.39
Compress/41_buggy,0,2,0,0,0,35,0,0,37,2.51
Compress/42_buggy,0,2,0,0,0,38,0,0,40,2.62
Compress/43_buggy,0,2,0,0,0,40,0,0,42,2.53
Compress/44_buggy,0,2,0,0,0,41,0,0,43,2.57
Compress/45_buggy,0,2,0,0,0,41,0,0,43,2.57
Compress/46_buggy,0,2,0,0,0,41,0,0,43,2.56
Compress/47_buggy,0,2,0,0,0,41,0,0,43,2.48
Csv/1_buggy,0,0,1,0,0,0,0,0,1,1.69
Csv/2_buggy,0,0,2,0,0,0,0,0,2,2.42
Csv/3_buggy,0,0,2,0,0,0,0,1,3,3.55
Csv/4_buggy,0,0,1,0,1,0,0,0,2,2.3
Csv/5_buggy,0,0,1,0,1,0,0,0,2,2.27
Csv/6_buggy,0,0,1,0,1,0,0,0,2,2.25
Csv/7_buggy,0,0,1,0,1,0,0,0,2,2.24
Csv/8_buggy,0,0,1,0,1,0,0,0,2,2.21
Csv/9_buggy,0,0,1,0,1,0,0,0,2,2.21
Csv/10_buggy,0,0,1,0,1,0,0,0,2,2.21
Csv/11_buggy,0,0,1,0,0,0,0,0,1,1.09
Csv/12_buggy,0,0,1,0,0,0,0,0,1,1.09
Csv/13_buggy,0,0,1,0,0,0,0,0,1,0.99
Csv/14_buggy,0,0,1,0,0,0,0,0,1,0.92
Csv/15_buggy,0,0,1,0,0,0,0,0,1,0.89
Csv/16_buggy,0,0,1,0,0,0,0,0,1,0.88
Gson/1_buggy,0,0,5,0,0,2,0,0,7,1.78
Gson/2_buggy,10,2,8,0,0,4,0,0,24,4.38
Gson/3_buggy,10,2,8,0,0,4,0,0,24,4.37
Gson/4_buggy,10,2,8,0,0,4,0,0,24,4.15
Gson/5_buggy,10,2,8,0,0,4,0,0,24,4.16
Gson/6_buggy,10,2,8,0,0,4,0,0,24,4.16
Gson/7_buggy,10,2,8,0,0,4,0,0,24,4.15
Gson/8_buggy,10,2,8,0,0,4,0,0,24,4.15
Gson/9_buggy,10,2,8,0,0,4,0,0,24,4.14
Gson/10_buggy,10,2,9,0,0,4,0,0,25,4.3
Gson/11_buggy,10,2,8,0,0,4,0,0,24,4.07
Gson/12_buggy,10,2,8,0,0,4,0,0,24,4.07
Gson/13_buggy,10,2,8,0,0,4,0,0,24,4.06
Gson/14_buggy,10,2,8,0,0,4,0,0,24,4.07
Gson/15_buggy,10,2,8,0,0,4,0,0,24,4.06
Gson/16_buggy,10,2,8,0,0,4,0,0,24,4.06
Gson/17_buggy,10,2,8,0,0,4,0,0,24,4.05
Gson/18_buggy,10,2,8,0,0,4,0,0,24,4.02
JacksonCore/1_buggy,7,5,14,2,0,67,0,0,95,8.73
JacksonCore/2_buggy,8,5,17,2,0,70,0,0,102,9.24
JacksonCore/3_buggy,8,5,18,2,0,69,0,0,102,9.12
JacksonCore/4_buggy,8,5,16,2,0,75,0,0,106,9.19
JacksonCore/5_buggy,8,5,16,2,0,75,0,0,106,9.19
JacksonCore/6_buggy,8,5,16,2,0,75,0,0,106,9.19
JacksonCore/7_buggy,8,5,16,2,0,75,0,6,112,9.46
JacksonCore/8_buggy,8,5,17,2,0,75,0,6,113,9.02
JacksonCore/9_buggy,8,5,17,2,0,77,0,6,115,8.97
JacksonCore/10_buggy,8,5,19,2,0,80,0,6,120,8.65
JacksonCore/11_buggy,8,5,19,2,0,80,0,6,120,8.64
JacksonCore/12_buggy,8,6,19,2,0,91,0,6,132,9.69
JacksonCore/13_buggy,8,6,19,2,0,94,0,6,135,9.9
JacksonCore/14_buggy,8,6,19,2,0,94,0,6,135,9.9
JacksonCore/15_buggy,8,6,19,2,0,94,0,6,135,9.9
JacksonCore/16_buggy,9,6,23,2,0,107,0,6,153,9.9
JacksonCore/17_buggy,7,4,16,2,0,94,0,0,123,9.01
JacksonCore/18_buggy,7,4,16,2,0,94,0,0,123,8.99
JacksonCore/19_buggy,7,4,16,2,0,94,0,0,123,8.99
JacksonCore/20_buggy,8,4,15,2,0,107,0,0,136,8.75
JacksonCore/21_buggy,8,5,15,2,0,113,0,0,143,8.78
JacksonCore/22_buggy,8,6,17,2,0,114,0,0,147,8.4
JacksonCore/23_buggy,8,6,22,2,0,118,0,0,156,8.37
JacksonCore/24_buggy,8,6,22,2,0,118,0,0,156,8.34
JacksonCore/25_buggy,8,6,20,2,0,116,0,0,152,8.39
JacksonCore/26_buggy,8,6,23,2,0,118,0,0,157,8.38
JacksonDatabind/1_buggy,43,4,25,0,0,155,6,1,234,8.78
JacksonDatabind/2_buggy,41,6,19,0,0,169,6,1,242,8.31
JacksonDatabind/3_buggy,41,6,19,0,0,169,6,1,242,8.3
JacksonDatabind/4_buggy,41,5,19,0,0,175,6,1,247,8.46
JacksonDatabind/5_buggy,41,5,19,0,0,175,6,1,247,8.45
JacksonDatabind/6_buggy,41,4,19,0,0,175,6,1,246,8.42
JacksonDatabind/7_buggy,41,4,21,0,0,175,6,1,248,8.48
JacksonDatabind/8_buggy,46,4,23,0,0,181,6,1,261,8.33
JacksonDatabind/9_buggy,46,4,23,0,0,181,6,1,261,8.32
JacksonDatabind/10_buggy,46,4,23,0,0,184,6,1,264,8.39
JacksonDatabind/11_buggy,46,4,23,0,0,184,6,1,264,8.38
JacksonDatabind/12_buggy,41,4,21,0,0,175,6,1,248,8.46
JacksonDatabind/13_buggy,46,4,23,0,0,184,6,1,264,8.38
JacksonDatabind/14_buggy,46,4,23,0,0,184,6,1,264,8.38
JacksonDatabind/15_buggy,46,4,23,0,0,184,7,1,265,8.4
JacksonDatabind/16_buggy,46,4,23,0,0,184,7,1,265,8.4
JacksonDatabind/17_buggy,41,4,21,0,0,175,6,1,248,8.45
JacksonDatabind/18_buggy,48,5,24,0,0,186,7,1,271,8.45
JacksonDatabind/19_buggy,48,6,26,0,0,186,7,1,274,8.52
JacksonDatabind/20_buggy,46,4,23,0,0,184,7,1,265,8.39
JacksonDatabind/21_buggy,48,6,26,0,0,182,7,1,270,8.36
JacksonDatabind/22_buggy,69,6,25,0,0,184,7,1,292,8.97
JacksonDatabind/23_buggy,70,6,25,0,0,185,7,1,294,9.01
JacksonDatabind/24_buggy,70,6,25,0,0,185,7,1,294,8.99
JacksonDatabind/25_buggy,70,6,25,0,0,185,7,1,294,8.99
JacksonDatabind/26_buggy,68,6,25,0,0,185,7,1,292,8.92
JacksonDatabind/27_buggy,67,6,25,0,0,185,7,1,291,8.89
JacksonDatabind/28_buggy,67,6,24,0,0,185,7,1,290,8.85
JacksonDatabind/29_buggy,67,6,26,0,0,184,7,1,291,8.87
JacksonDatabind/30_buggy,67,6,23,0,0,184,7,1,288,8.77
JacksonDatabind/31_buggy,67,6,23,0,0,184,7,1,288,8.77
JacksonDatabind/32_buggy,67,6,23,0,0,184,7,1,288,8.76
JacksonDatabind/33_buggy,67,6,23,0,0,184,7,1,288,8.76
JacksonDatabind/34_buggy,88,6,21,0,0,179,9,1,304,8.95
JacksonDatabind/35_buggy,46,4,23,0,0,184,7,1,265,8.39
JacksonDatabind/36_buggy,88,6,20,0,0,181,9,1,305,8.96
JacksonDatabind/37_buggy,89,6,20,0,0,181,9,1,306,8.99
JacksonDatabind/38_buggy,89,6,20,0,0,181,9,1,306,8.98
JacksonDatabind/39_buggy,67,5,22,0,0,184,7,1,286,8.7
JacksonDatabind/40_buggy,89,5,20,0,0,181,9,1,305,8.95
JacksonDatabind/41_buggy,89,5,20,0,0,181,9,1,305,8.95
JacksonDatabind/42_buggy,67,5,22,0,0,184,7,1,286,8.7
JacksonDatabind/43_buggy,89,5,21,0,0,181,9,1,306,8.97
JacksonDatabind/44_buggy,89,5,21,0,0,181,9,1,306,8.97
JacksonDatabind/45_buggy,89,5,21,0,0,181,9,1,306,8.97
JacksonDatabind/46_buggy,67,6,22,0,0,184,7,1,287,8.73
JacksonDatabind/47_buggy,90,6,20,0,0,181,9,1,307,8.96
JacksonDatabind/48_buggy,90,6,20,0,0,181,9,1,307,8.96
JacksonDatabind/49_buggy,67,6,22,0,0,184,7,1,287,8.73
JacksonDatabind/50_buggy,89,11,21,0,0,182,9,1,313,8.95
JacksonDatabind/51_buggy,89,11,17,0,0,183,9,1,310,8.86
JacksonDatabind/52_buggy,89,11,17,0,0,183,9,1,310,8.86
